1597806000000000,PM2.5,18.7,UG/M3,22,65,2
1597784400000000,PM2.5,6.1,UG/M3,5,25,1
1597741200000000,OZONE,21,PPB,23,19,1
1598526000000000,PM2.5,16.5,UG/M3,21,60,2
1598554800000000,PM2.5,37.8,UG/M3,55,107,3
1598598000000000,PM2.5,48.4,UG/M3,47,133,3
1597993200000000,PM2.5,32.7,UG/M3,23,94,2
1597971600000000,PM2.5,74,UG/M3,90,161,4
1597928400000000,PM2.5,18,UG/M3,20,63,2
1598713200000000,OZONE,25,PPB,25,23,1
1598742000000000,PM2.5,9.2,UG/M3,11,38,1
1598756400000000,PM2.5,6,UG/M3,4,25,1
1597647600000000,PM2.5,12.3,UG/M3,14,51,2
1597626000000000,PM2.5,11.3,UG/M3,12,47,1
1597582800000000,PM2.5,7.8,UG/M3,9,33,1
1597122000000000,OZONE,26,PPB,29,24,1
1597100400000000,PM2.5,6.6,UG/M3,9,28,1
1597071600000000,OZONE,22,PPB,-999,20,1
1598670000000000,PM2.5,14.4,UG/M3,14,56,2
1598641200000000,PM2.5,5.1,UG/M3,6,21,1
1598612400000000,PM2.5,13.3,UG/M3,9,54,2
1597654800000000,PM2.5,10.7,UG/M3,10,45,1
1597698000000000,PM2.5,4.5,UG/M3,6,19,1
1597683600000000,OZONE,15,PPB,18,14,1
1598000400000000,PM2.5,26.4,UG/M3,27,81,2
1598043600000000,PM2.5,18.9,UG/M3,22,65,2
1598072400000000,PM2.5,63.1,UG/M3,39,155,4
1597842000000000,PM2.5,14.7,UG/M3,15,56,2
1597885200000000,PM2.5,16,UG/M3,20,59,2
1597892400000000,PM2.5,27.2,UG/M3,30,83,2
1598461200000000,OZONE,22,PPB,23,20,1
1598482800000000,PM2.5,11.4,UG/M3,9,48,1
1598454000000000,OZONE,21,PPB,21,19,1
1599692400000000,PM2.5,10.3,UG/M3,9,43,1
1599663600000000,OZONE,24,PPB,23,22,1
1599714000000000,PM2.5,14.7,UG/M3,16,56,2
1599505200000000,PM2.5,18.3,UG/M3,16,64,2
1599476400000000,PM2.5,38.2,UG/M3,40,108,3
1599534000000000,PM2.5,25.9,UG/M3,25,80,2
1598994000000000,OZONE,27,PPB,28,25,1
1598950800000000,OZONE,30,PPB,31,28,1
1599015600000000,PM2.5,11.1,UG/M3,12,46,1
1599447600000000,PM2.5,17.8,UG/M3,21,63,2
1599404400000000,PM2.5,17.4,UG/M3,15,62,2
1599433200000000,PM2.5,16.9,UG/M3,14,61,2
1599634800000000,PM2.5,6.8,UG/M3,7,28,1
1599562800000000,PM2.5,21.1,UG/M3,19,70,2
1599591600000000,PM2.5,7.9,UG/M3,9,33,1
1600174800000000,PM2.5,101.5,UG/M3,98,175,4
1600218000000000,PM2.5,86.5,UG/M3,87,167,4
1600225200000000,PM2.5,72.8,UG/M3,65,160,4
1599966000000000,PM2.5,55.2,UG/M3,59,150,3
1599937200000000,PM2.5,70.6,UG/M3,68,159,4
1599908400000000,PM2.5,123,UG/M3,122,186,4
1601002800000000,OZONE,21,PPB,25,19,1
1600974000000000,PM2.5,3.3,UG/M3,5,14,1
1600945200000000,OZONE,19,PPB,19,18,1
1600866000000000,OZONE,15,PPB,13,14,1
1600909200000000,PM2.5,5.8,UG/M3,6,24,1
1600916400000000,OZONE,28,PPB,38,26,1
1600830000000000,PM2.5,7.4,UG/M3,8,31,1
1600808400000000,OZONE,17,PPB,16,16,1
1600765200000000,PM2.5,10.8,UG/M3,14,45,1
1600009200000000,PM2.5,73.4,UG/M3,65,160,4
1600038000000000,PM2.5,58.8,UG/M3,60,153,4
1600052400000000,PM2.5,47.2,UG/M3,33,130,3
1600138800000000,PM2.5,64.7,UG/M3,66,156,4
1600117200000000,PM2.5,83.1,UG/M3,70,165,4
1600074000000000,PM2.5,78.5,UG/M3,82,163,4
1598209200000000,PM2.5,5.2,UG/M3,4,22,1
1598180400000000,PM2.5,6.6,UG/M3,5,28,1
1598238000000000,PM2.5,31.7,UG/M3,31,92,2
1598324400000000,PM2.5,25.2,UG/M3,17,79,2
1598274000000000,PM2.5,24.7,UG/M3,26,77,2
1598317200000000,PM2.5,31.8,UG/M3,37,92,2
1597518000000000,PM2.5,10.7,UG/M3,11,45,1
1597489200000000,PM2.5,8.1,UG/M3,7,34,1
1597546800000000,PM2.5,8.5,UG/M3,9,35,1
1597460400000000,OZONE,50,PPB,63,46,1
1597417200000000,PM2.5,11.2,UG/M3,12,47,1
1597446000000000,PM2.5,12.2,UG/M3,12,51,2
1598389200000000,OZONE,18,PPB,22,17,1
1598346000000000,PM2.5,9.5,UG/M3,8,40,1
1598410800000000,PM2.5,8.5,UG/M3,8,35,1
1598151600000000,PM2.5,89.1,UG/M3,95,168,4
1598108400000000,PM2.5,96.3,UG/M3,56,172,4
1598137200000000,PM2.5,23.9,UG/M3,28,76,2
1599130800000000,OZONE,35,PPB,33,32,1
1599159600000000,PM2.5,11.1,UG/M3,11,46,1
1599202800000000,PM2.5,8.4,UG/M3,6,35,1
1599289200000000,PM2.5,15.1,UG/M3,15,57,2
1599267600000000,PM2.5,11,UG/M3,12,46,1
1599224400000000,PM2.5,7.7,UG/M3,8,32,1
1599296400000000,PM2.5,14.5,UG/M3,17,56,2
1599339600000000,PM2.5,9,UG/M3,8,38,1
1599325200000000,PM2.5,12.9,UG/M3,13,53,2
1599109200000000,OZONE,39,PPB,40,36,1
1599087600000000,OZONE,35,PPB,36,32,1
1599058800000000,OZONE,35,PPB,36,32,1
1599872400000000,PM2.5,49.7,UG/M3,46,136,3
1599829200000000,PM2.5,75,UG/M3,73,161,4
1599894000000000,PM2.5,59.6,UG/M3,72,153,4
1600326000000000,PM2.5,5.6,UG/M3,5,23,1
1600254000000000,PM2.5,4.9,UG/M3,1,20,1
1600282800000000,PM2.5,5.8,UG/M3,6,24,1
1600671600000000,PM2.5,8,UG/M3,9,33,1
1600599600000000,PM2.5,6.9,UG/M3,7,29,1
1600628400000000,PM2.5,7.3,UG/M3,5,30,1
1600484400000000,PM2.5,7.1,UG/M3,6,30,1
1600441200000000,PM2.5,5.7,UG/M3,8,24,1
1600470000000000,PM2.5,6.7,UG/M3,7,28,1
1600542000000000,PM2.5,8.8,UG/M3,8,37,1
1600513200000000,PM2.5,6.7,UG/M3,8,28,1
1600570800000000,OZONE,27,PPB,33,25,1
1600729200000000,PM2.5,7.8,UG/M3,7,33,1
1600700400000000,OZONE,19,PPB,-999,18,1
1600750800000000,PM2.5,11.1,UG/M3,12,46,1
1600383600000000,PM2.5,2.6,UG/M3,3,11,1
1600354800000000,NO2,7,PPB,7,7,1
1600362000000000,NO2,9,PPB,9,8,1
1599800400000000,PM2.5,29.6,UG/M3,-999,88,2
1599728400000000,PM2.5,29.1,UG/M3,34,87,2
1599771600000000,PM2.5,28.8,UG/M3,27,86,2
1598878800000000,OZONE,27,PPB,28,25,1
1598922000000000,OZONE,21,PPB,24,19,1
1598929200000000,OZONE,25,PPB,30,23,1
1598842800000000,PM2.5,8.8,UG/M3,6,37,1
