1597806000000000,PM2.5,18.8,UG/M3,15.3,65,2
1597784400000000,PM2.5,22.3,UG/M3,22,72,2
1597741200000000,OZONE,63,PPB,67,77,2
1598526000000000,PM2.5,22.2,UG/M3,22.4,72,2
1598554800000000,PM2.5,20.2,UG/M3,18.6,68,2
1598598000000000,OZONE,61,PPB,63,71,2
1597993200000000,OZONE,61,PPB,70,71,2
1597971600000000,PM2.5,21.2,UG/M3,22.2,70,2
1597928400000000,PM2.5,21.6,UG/M3,20.3,71,2
1598713200000000,PM2.5,17.5,UG/M3,17.2,62,2
1598742000000000,PM2.5,15.8,UG/M3,15,59,2
1598756400000000,PM2.5,12,UG/M3,11,50,1
1597647600000000,OZONE,60,PPB,71,67,2
1597626000000000,OZONE,45,PPB,48,42,1
1597582800000000,PM2.5,18.6,UG/M3,10.8,65,2
1597122000000000,OZONE,57,PPB,57,58,2
1597100400000000,OZONE,43,PPB,39,40,1
1597071600000000,OZONE,42,PPB,43,39,1
1598670000000000,PM2.5,17.1,UG/M3,16.4,62,2
1598641200000000,PM2.5,16.3,UG/M3,16.6,60,2
1598612400000000,PM2.5,16.4,UG/M3,16.8,60,2
1597654800000000,OZONE,54,PPB,52,50,1
1597698000000000,PM2.5,8.7,UG/M3,9.1,36,1
1597683600000000,OZONE,40,PPB,39,37,1
1598000400000000,PM2.5,18.5,UG/M3,17.9,64,2
1598043600000000,PM2.5,22.5,UG/M3,23.9,73,2
1598072400000000,OZONE,76,PPB,86,119,3
1597842000000000,PM2.5,33.7,UG/M3,29.1,96,2
1597885200000000,PM2.5,22,UG/M3,22.1,72,2
1597892400000000,OZONE,62,PPB,68,74,2
1598461200000000,PM2.5,20.8,UG/M3,24.2,69,2
1598482800000000,PM2.5,18.5,UG/M3,20,64,2
1598454000000000,PM2.5,20,UG/M3,19.1,68,2
1599692400000000,OZONE,30,PPB,29,28,1
1599663600000000,OZONE,28,PPB,30,26,1
1599714000000000,OZONE,38,PPB,39,35,1
1599505200000000,PM2.5,56.4,UG/M3,56,151,4
1599476400000000,PM2.5,55.2,UG/M3,59.9,150,3
1599534000000000,PM2.5,31.9,UG/M3,24.9,93,2
1598994000000000,PM2.5,8.2,UG/M3,8.9,34,1
1598950800000000,OZONE,48,PPB,48,44,1
1599015600000000,OZONE,43,PPB,45,40,1
1599447600000000,OZONE,46,PPB,51,43,1
1599404400000000,PM2.5,8.9,UG/M3,9.6,37,1
1599433200000000,PM2.5,9.2,UG/M3,8.3,38,1
1599634800000000,OZONE,30,PPB,34,28,1
1599562800000000,PM2.5,31,UG/M3,36.2,91,2
1599591600000000,OZONE,29,PPB,25,27,1
1600174800000000,OZONE,35,PPB,40,32,1
1600218000000000,PM2.5,12.9,UG/M3,16.1,53,2
1600225200000000,PM2.5,10.8,UG/M3,10,45,1
1599966000000000,OZONE,49,PPB,56,45,1
1599937200000000,OZONE,35,PPB,-999,32,1
1599908400000000,OZONE,43,PPB,38,40,1
1601002800000000,PM2.5,17,UG/M3,13.8,61,2
1600974000000000,PM2.5,17.7,UG/M3,18.8,63,2
1600945200000000,PM2.5,16.3,UG/M3,16.6,60,2
1600866000000000,PM2.5,11.1,UG/M3,12.4,46,1
1600909200000000,PM2.5,12.5,UG/M3,13.8,52,2
1600916400000000,PM2.5,12.2,UG/M3,11.9,51,2
1600830000000000,PM2.5,10.3,UG/M3,10.6,43,1
1600808400000000,PM2.5,10.3,UG/M3,11,43,1
1600765200000000,OZONE,45,PPB,41,42,1
1600009200000000,PM2.5,10.1,UG/M3,8.2,42,1
1600038000000000,OZONE,38,PPB,34,35,1
1600052400000000,OZONE,45,PPB,52,42,1
1600138800000000,OZONE,43,PPB,50,40,1
1600117200000000,OZONE,33,PPB,30,31,1
1600074000000000,PM2.5,10.6,UG/M3,11.9,44,1
1598209200000000,PM2.5,15.6,UG/M3,15.1,58,2
1598180400000000,PM2.5,29.5,UG/M3,29.8,88,2
1598238000000000,PM2.5,15.2,UG/M3,13.9,58,2
1598324400000000,OZONE,64,PPB,71,80,2
1598274000000000,PM2.5,14.8,UG/M3,15.1,57,2
1598317200000000,PM2.5,15.7,UG/M3,16.6,59,2
1597518000000000,PM2.5,11.1,UG/M3,10.7,46,1
1597489200000000,PM2.5,10.7,UG/M3,11.7,45,1
1597546800000000,OZONE,55,PPB,62,51,2
1597460400000000,OZONE,54,PPB,62,50,1
1597417200000000,OZONE,41,PPB,41,38,1
1597446000000000,PM2.5,13.2,UG/M3,13.3,53,2
1598389200000000,PM2.5,40,UG/M3,36.4,112,3
1598346000000000,OZONE,64,PPB,58,80,2
1598410800000000,PM2.5,30.1,UG/M3,24.4,89,2
1598151600000000,OZONE,72,PPB,70,105,3
1598108400000000,PM2.5,29.3,UG/M3,27.9,87,2
1598137200000000,PM2.5,28.3,UG/M3,27.8,85,2
1599130800000000,PM2.5,11.3,UG/M3,12.7,47,1
1599159600000000,PM2.5,9.1,UG/M3,9.7,38,1
1599202800000000,OZONE,52,PPB,58,48,1
1599289200000000,OZONE,54,PPB,55,50,1
1599267600000000,PM2.5,12.1,UG/M3,12.1,51,2
1599224400000000,PM2.5,11.6,UG/M3,9.7,48,1
1599296400000000,PM2.5,11.4,UG/M3,12.4,48,1
1599339600000000,PM2.5,11.2,UG/M3,12.6,47,1
1599325200000000,PM2.5,10.2,UG/M3,9.5,43,1
1599109200000000,OZONE,45,PPB,46,42,1
1599087600000000,PM2.5,8.9,UG/M3,8.9,37,1
1599058800000000,PM2.5,7.2,UG/M3,6.8,30,1
1599872400000000,PM2.5,11.5,UG/M3,12.1,48,1
1599829200000000,OZONE,47,PPB,44,44,1
1599894000000000,OZONE,56,PPB,57,54,2
1600326000000000,PM2.5,12.8,UG/M3,12.6,52,2
1600254000000000,PM2.5,12.1,UG/M3,12.9,51,2
1600282800000000,OZONE,38,PPB,36,35,1
1600671600000000,PM2.5,17.4,UG/M3,16.3,62,2
1600599600000000,PM2.5,29.6,UG/M3,27.8,88,2
1600628400000000,PM2.5,22.8,UG/M3,22,74,2
1600484400000000,PM2.5,16.5,UG/M3,18.1,60,2
1600441200000000,PM2.5,14,UG/M3,14.4,55,2
1600470000000000,PM2.5,16,UG/M3,16.6,59,2
1600542000000000,PM2.5,14.4,UG/M3,15.2,56,2
1600513200000000,PM2.5,14.7,UG/M3,13.8,56,2
1600570800000000,PM2.5,28.6,UG/M3,27.1,86,2
1600729200000000,PM2.5,19.3,UG/M3,19.1,66,2
1600700400000000,PM2.5,18.7,UG/M3,19.3,65,2
1600750800000000,PM2.5,12.1,UG/M3,9.7,51,2
1600383600000000,PM2.5,18.2,UG/M3,19.2,64,2
1600354800000000,PM2.5,13.9,UG/M3,13.7,55,2
1600362000000000,PM2.5,14.1,UG/M3,14.3,55,2
1599800400000000,OZONE,47,PPB,52,44,1
1599728400000000,OZONE,35,PPB,32,32,1
1599771600000000,PM2.5,7.5,UG/M3,8,31,1
1598878800000000,PM2.5,18.6,UG/M3,14.2,65,2
1598922000000000,PM2.5,13,UG/M3,10,53,2
1598929200000000,OZONE,51,PPB,53,47,1
1598842800000000,PM2.5,16.9,UG/M3,21.1,61,2
1598821200000000,PM2.5,11.2,UG/M3,10.9,47,1
1598778000000000,PM2.5,13.7,UG/M3,15.2,54,2
1597770000000000,PM2.5,21.9,UG/M3,23,72,2
1597762800000000,PM2.5,23.1,UG/M3,21.5,74,2
1597791600000000,PM2.5,20,UG/M3,18.4,68,2
1598576400000000,PM2.5,20.2,UG/M3,21.1,68,2
1598533200000000,PM2.5,21.7,UG/M3,20.8,71,2
1598547600000000,PM2.5,21.2,UG/M3,20.8,70,2
1597986000000000,OZONE,64,PPB,68,80,2
1597921200000000,PM2.5,21,UG/M3,22.3,70,2
1597950000000000,PM2.5,20.3,UG/M3,19.7,68,2
1598734800000000,PM2.5,16.5,UG/M3,15.3,60,2
1598691600000000,PM2.5,14.9,UG/M3,15.1,57,2
1598720400000000,PM2.5,18.4,UG/M3,18.2,64,2
1597597200000000,PM2.5,9.8,UG/M3,9.2,41,1
1597575600000000,PM2.5,39.5,UG/M3,43.6,111,3
1597604400000000,PM2.5,8.5,UG/M3,7.8,35,1
1597078800000000,OZONE,41,PPB,42,38,1
1597050000000000,OZONE,52,PPB,58,48,1
1597093200000000,OZONE,38,PPB,35,35,1
1598684400000000,OZONE,61,PPB,60,71,2
1598619600000000,PM2.5,17.2,UG/M3,17.9,62,2
1598662800000000,PM2.5,17.2,UG/M3,18.1,62,2
1597705200000000,PM2.5,9.6,UG/M3,10.7,40,1
1597676400000000,PM2.5,9.6,UG/M3,8.7,40,1
1597726800000000,OZONE,61,PPB,61,71,2
1598050800000000,PM2.5,21.4,UG/M3,20.3,71,2
1598022000000000,PM2.5,27.2,UG/M3,28.5,83,2
1598029200000000,PM2.5,24.3,UG/M3,22.4,77,2
1597863600000000,PM2.5,20.9,UG/M3,20.2,70,2
1597834800000000,PM2.5,34.7,UG/M3,38.6,99,2
1597906800000000,OZONE,60,PPB,55,67,2
1598504400000000,OZONE,64,PPB,65,80,2
1598432400000000,PM2.5,19.9,UG/M3,19,67,2
1598475600000000,PM2.5,17.7,UG/M3,17.4,63,2
1599642000000000,OZONE,28,PPB,31,26,1
1599685200000000,OZONE,29,PPB,27,27,1
1599670800000000,OZONE,28,PPB,29,26,1
1599483600000000,PM2.5,58.6,UG/M3,59.6,153,4
1599526800000000,PM2.5,50.8,UG/M3,42.9,139,3
1599548400000000,PM2.5,21.7,UG/M3,22.2,71,2
1598972400000000,OZONE,38,PPB,37,35,1
1599001200000000,PM2.5,9,UG/M3,8.7,38,1
1598979600000000,PM2.5,9.9,UG/M3,12.7,41,1
1599454800000000,PM2.5,14.2,UG/M3,19.1,55,2
1599426000000000,PM2.5,9.8,UG/M3,11,41,1
1599382800000000,OZONE,47,PPB,48,44,1
1599627600000000,OZONE,29,PPB,32,27,1
1599613200000000,OZONE,24,PPB,21,22,1
1599570000000000,PM2.5,33.8,UG/M3,34.7,97,2
1600196400000000,PM2.5,7.9,UG/M3,8.2,33,1
1600167600000000,OZONE,40,PPB,40,37,1
1600239600000000,OZONE,44,PPB,53,41,1
1599980400000000,PM2.5,17,UG/M3,20.5,61,2
1599915600000000,OZONE,36,PPB,38,33,1
1599958800000000,OZONE,43,PPB,44,40,1
1601017200000000,OZONE,47,PPB,50,44,1
1600952400000000,PM2.5,16.9,UG/M3,17.7,61,2
1600995600000000,PM2.5,21.3,UG/M3,20.5,70,2
1600887600000000,PM2.5,10.1,UG/M3,10.7,42,1
